,P1,P2,P3
A1,1.1010957,0.6883355,0.7414923
A2,0.6538509,0.39592782,1.07815
A3,0.39255294,702.2665,3706.1875
A4,7.955726,0.5259314,0.61468935
A5,8.342922,0.72958523,0.5574558
A6,1.7254719,0.610855,0.35140345
A7,0.3887494,0.4721237,0.59755844
A8,6.3473043,0.5698097,0.6100618
A9,0.5027117,0.44747674,0.5662463
A10,0.5718329,0.4539365,0.5526989
A11,18.890324,0.50377035,0.90733767
A12,1.4971217,0.33965996,0.4756992
A13,0.52842915,0.5810742,0.52950037
A14,1.0903583,0.47606838,0.5439934
A15,0.9256562,0.5933746,0.4488055
A16,0.4731215,0.3823876,0.57579446
A17,1.8946655,0.40959466,0.5541099
A18,13.8432865,0.45216227,2537.93
A19,0.5261923,0.58752155,1.5050536
A20,0.38882163,7.091484,0.5807545
A21,2.2505116,0.38643375,2037.8737
A22,0.6297238,1.0735127,0.51941866
A23,0.5243491,0.43422753,5963.356
A24,0.587781,0.41180453,3.1083968
A25,18204.879,0.45500484,1.0419661
A26,0.43954888,0.6273647,0.36544877
A27,0.77457714,0.5754404,0.46314988
A28,0.7108334,0.33525124,0.5249951
A29,0.50387853,0.550629,0.4959625
A30,0.8735202,0.55903697,4699.22
A31,1.3166255,14286.959,0.49024865
A32,0.70686686,0.53153676,0.5020983
A33,1.5239236,0.9014602,0.45893344
A34,0.572328,0.5491648,472.3754
A35,0.94757766,0.59747154,1.1623702
A36,1.0118661,0.56379753,0.7656567
A37,0.3250084,0.51611596,27.020346
A38,1.0454807,0.6321327,1.0306257
A39,0.34354794,0.47059646,0.524932
A40,0.9691967,0.5572318,0.46723053
A41,0.6542648,0.6019141,0.6636621
A42,0.6536601,0.53858227,1.1390419
A43,0.55357647,934.8113,0.48805892
A44,0.4279184,0.64174485,0.3947645
A45,401.33655,0.59054124,1.4958664
A46,0.54508835,0.44418588,0.59991777
A47,0.6142549,0.38666913,0.40004364
A48,0.6457753,0.524916,3.5067246
A49,184.45619,0.5479017,0.57050264
A50,0.49506938,0.7991291,0.7695784
A51,0.5363201,0.5510077,1.4507854
A52,1.6067898,0.47371045,0.28738248
A53,0.42737395,0.49886298,0.72682166
A54,3.419295,1.3655187,547.88873
A55,0.4714084,0.56345886,0.72971076
A56,0.53327477,0.44387567,0.47155678
A57,0.67877144,0.67251974,0.5642246
A58,1.1207519,0.6726522,0.6258612
A59,1.0061014,0.42537847,0.44877446
A60,0.47891876,0.60354364,0.50060827
A61,0.5789247,0.6062984,2.2892811
A62,0.49400702,0.6845086,0.9434805
A63,0.6607516,0.5384601,0.6560239
