,7
A1,0.41956052
A2,0.35144112
A3,0.3573935
A4,0.4965309
A5,0.77866566
A6,0.5987587
A7,0.33015737
A8,0.38600245
A9,0.59434307
A10,0.47564837
A11,0.38443324
A12,0.41195115
A13,0.6672868
A14,0.5638367
A15,0.56171757
A16,0.44562638
A17,0.58797586
A18,0.576533
A19,0.90457463
A20,0.48160043
A21,0.70385855
A22,0.5206056
A23,0.42359707
A24,0.41847143
A25,0.44574708
A26,0.55440986
A27,0.35682288
A28,3.0916824
A29,0.55548984
A30,0.43342698
A31,0.4892573
A32,0.5747242
A33,0.5642165
A34,0.7413633
A35,0.3938592
A36,1.252584
A37,0.44096234
A38,0.4660372
A39,0.41360453
A40,0.60517883
A41,0.49667063
A42,0.41680717
